SightID:ID,Name_CN,Name_EN,URL,:LABEL
sight_0104,泰勒广场,Taylor Square,https://you.ctrip.com/sight/darlinghurst2126516/1412381.html,Sight
sight_0105,圣约翰圣公会大教堂,St John's Anglican Cathedral,https://you.ctrip.com/sight/parramatta2126904/1767867.html,Sight
sight_0106,海德公园军营博物馆,Hyde Park Barracks,https://you.ctrip.com/sight/sydney236/64089.html,Sight
sight_0107,图8 池,Figure 8 Pools,https://you.ctrip.com/sight/sydney236/5205480.html,Sight
sight_0108,巴兰加鲁保护区,Barangaroo Reserve,https://www.tripadvisor.com.au/Attraction_Review-g255060-d8610287-Reviews-Barangaroo_Reserve-Sydney_New_South_Wales.html,Sight
sight_0109,邦迪冰山俱乐部,Bondi Icebergs CLUB,https://you.ctrip.com/sight/bondibeach2127204/4866927.html,Sight
sight_0110,悉尼海港国家公园,Sydney Harbour National Park,https://www.tripadvisor.com.au/Attraction_Review-g552107-d258574-Reviews-Sydney_Harbour_National_Park-Mosman_Greater_Sydney_New_South_Wales.html,Sight
sight_0111,悉尼安联球场,Allianz Stadium,https://you.ctrip.com/sight/paddington2014457/1975632.html,Sight
sight_0112,西姆比欧野生动物园,Symbio Wildlife Park,https://you.ctrip.com/sight/helensburgh1464313/2498879.html,Sight
sight_0113,安娜湾四驱滑沙活动,Anna bay all-wheel-drive slippery sand activities,https://you.ctrip.com/sight/sydney236/1409713.html,Sight
sight_0114,劳斯山庄园,Rouse Hill Estate,https://you.ctrip.com/sight/sydney236/1734461.html,Sight
sight_0115,新南威尔士州议会,Strangers’ Function Room (NSW Parliament House),https://you.ctrip.com/sight/sydney236/1412724.html,Sight
sight_0116,古尔德书廊,Gould's Book Arcade,https://you.ctrip.com/sight/sydney236/1415043.html,Sight
sight_0117,布拉德菲尔德公园,Bradfield Park,https://you.ctrip.com/sight/milsonspoint1463005/1828481.html,Sight
sight_0118,澳洲摄影中心,Australian Centre for Photography,https://you.ctrip.com/sight/sydney236/1734474.html,Sight
sight_0119,托布鲁克农场,Tobruk Sheep Station,https://you.ctrip.com/sight/sydney236/1677846.html,Sight
sight_0120,白兔画廊,White Rabbit Gallery,https://you.ctrip.com/sight/chippendale2126597/1734408.html,Sight
